2021-01-19 00:11:32,223 - INFO - #####################################
2021-01-19 00:11:32,223 - INFO - ############Start Training###########
2021-01-19 00:11:32,223 - INFO - #####################################
2021-01-19 00:12:17,547 - INFO - ####################################
2021-01-19 00:12:17,547 - INFO - ############Loading Model###########
2021-01-19 00:12:17,548 - INFO - ####################################
2021-01-19 00:14:49,989 - INFO - Env 04, Goal (003.7, -06.1), Episode 00014, setp 002, Reward -15.0, Distance 009.3, Crashed
2021-01-19 00:14:50,377 - INFO - Env 07, Goal (005.9, -04.7), Episode 00013, setp 002, Reward -15.0, Distance 008.9, Crashed
2021-01-19 00:14:50,377 - INFO - Env 11, Goal (002.4, 000.6), Episode 00010, setp 026, Reward -12.0, Distance 009.9, Crashed
2021-01-19 00:14:50,386 - INFO - Env 04, Goal (001.2, -04.3), Episode 00015, setp 002, Reward -15.0, Distance 009.6, Crashed
2021-01-19 00:14:50,394 - INFO - Env 00, Goal (-05.7, -00.2), Episode 00012, setp 023, Reward -11.9, Distance 008.9, Crashed
2021-01-19 00:14:50,962 - INFO - Env 09, Goal (-04.4, 004.2), Episode 00013, setp 099, Reward 37.4 , Distance 009.6, Reach Goal
2021-01-19 00:14:52,324 - INFO - Env 05, Goal (-00.5, -00.9), Episode 00011, setp 069, Reward 33.8 , Distance 008.0, Reach Goal
2021-01-19 00:14:56,455 - INFO - Env 03, Goal (-03.7, -07.4), Episode 00011, setp 088, Reward 36.9 , Distance 009.3, Reach Goal
2021-01-19 00:14:58,979 - INFO - Env 02, Goal (004.0, -04.2), Episode 00015, setp 108, Reward 37.2 , Distance 009.4, Reach Goal
2021-01-19 00:15:02,388 - INFO - Env 04, Goal (006.9, -02.2), Episode 00016, setp 086, Reward 35.9 , Distance 008.9, Reach Goal
2021-01-19 00:15:02,882 - INFO - Env 05, Goal (006.3, -00.3), Episode 00012, setp 076, Reward 33.9 , Distance 008.1, Reach Goal
2021-01-19 00:15:02,885 - INFO - Env 00, Goal (-02.7, -02.2), Episode 00013, setp 088, Reward 33.8 , Distance 008.1, Reach Goal
2021-01-19 00:15:03,295 - INFO - Env 10, Goal (-04.3, 002.1), Episode 00012, setp 098, Reward 36.1 , Distance 009.1, Reach Goal
2021-01-19 00:15:03,877 - INFO - Env 09, Goal (005.4, -04.0), Episode 00014, setp 090, Reward -9.4 , Distance 008.5, Crashed
2021-01-19 00:15:04,322 - INFO - Env 08, Goal (005.8, 003.1), Episode 00013, setp 100, Reward 35.2 , Distance 008.6, Reach Goal
2021-01-19 00:15:04,713 - INFO - Env 06, Goal (-01.9, 006.5), Episode 00013, setp 101, Reward 37.7 , Distance 009.6, Reach Goal
2021-01-19 00:15:06,407 - INFO - Env 01, Goal (002.5, 001.4), Episode 00012, setp 118, Reward 36.0 , Distance 009.0, Reach Goal
2021-01-19 00:15:06,788 - INFO - Env 01, Goal (-07.5, -02.0), Episode 00013, setp 002, Reward -15.0, Distance 009.9, Crashed
2021-01-19 00:15:06,800 - INFO - Env 02, Goal (008.1, 000.7), Episode 00016, setp 049, Reward -6.7 , Distance 009.3, Crashed
2021-01-19 00:15:07,601 - INFO - Env 07, Goal (-03.8, 001.3), Episode 00014, setp 113, Reward 34.4 , Distance 008.3, Reach Goal
2021-01-19 00:15:12,064 - INFO - Env 03, Goal (005.5, -04.7), Episode 00012, setp 104, Reward 38.2 , Distance 009.8, Reach Goal
2021-01-19 00:15:12,478 - INFO - Env 11, Goal (002.7, 005.5), Episode 00011, setp 152, Reward 21.1 , Distance 009.2, Time out
2021-01-19 00:15:13,804 - INFO - Env 07, Goal (003.4, 002.2), Episode 00015, setp 049, Reward -8.3 , Distance 008.1, Crashed
2021-01-19 00:15:15,497 - INFO - Env 00, Goal (002.3, -03.1), Episode 00014, setp 087, Reward 34.3 , Distance 008.2, Reach Goal
2021-01-19 00:15:16,240 - INFO - Env 04, Goal (-04.7, 004.2), Episode 00017, setp 092, Reward 38.1 , Distance 009.8, Reach Goal
2021-01-19 00:15:16,667 - INFO - Env 06, Goal (-04.3, -00.4), Episode 00014, setp 086, Reward 36.2 , Distance 009.0, Reach Goal
2021-01-19 00:15:17,771 - INFO - Env 09, Goal (005.8, -06.5), Episode 00015, setp 094, Reward 35.9 , Distance 008.9, Reach Goal
2021-01-19 00:15:18,887 - INFO - Env 05, Goal (-00.3, -08.9), Episode 00013, setp 103, Reward 36.2 , Distance 009.0, Reach Goal
2021-01-19 00:15:18,888 - INFO - Env 08, Goal (-01.4, -06.9), Episode 00014, setp 098, Reward 38.2 , Distance 009.8, Reach Goal
